longitude,latitude,date,label
77.1029,31.0226,2012-09-18,1
77.9798,31.5639,2011-06-17,1
77.1213,31.0365,2015-08-22,1
77.2181,32.3491,2011-07-15,1
76.8521,31.9671,2013-07-07,1
76.9312,31.709,2012-08-24,1
77.1947,32.1797,2012-08-18,1
77.1625,31.1032,2009-12-09,1
77.1889,31.9843,2010-09-19,1
77.6746,31.4711,2013-07-14,1
77.0969,30.904,2010-07-25,1
77.5063,30.9544,2010-09-19,1
77.3544,30.6738,2013-07-14,1
77.7755,31.5304,2010-08-21,1
77.1695,30.7198,2010-09-19,1
77.2468,32.371,2010-06-08,1
78.037,32.2473,2015-07-13,1
77.0969,30.9044,2012-08-24,1
77.1788,32.17,2013-07-14,1
76.1206,32.5606,2015-07-26,1
77.7241,31.1628,2013-06-07,1
76.3641,32.2067,2010-07-25,1
78.071,32.2278,2012-08-18,1
76.3037,32.2322,2013-07-08,1
76.9297,31.7085,2015-07-26,1
77.12,31,2008-08-14,1
76.3194,32.1967,2015-11-08,1
76.3075,32.1764,2015-12-08,1
77.3913,31.0766,2011-07-08,1
78.1181,31.5124,2016-06-17,1
77.1792,30.9546,2010-04-10,1
77.0965,30.9035,2010-09-19,1
77.1586,32.0996,2011-05-03,1
76.9313,31.7077,2011-08-13,1
78.2114,31.4582,2010-09-19,1
77.3737,31.5375,2013-08-21,1
77.16,31.1,2008-08-17,1
77.3916,31.0766,2011-07-08,1
76.7622,31.3237,2015-11-08,1
77.9258,31.2403,2011-07-08,1
77.1784,32.2338,2011-02-25,1
76.9576,30.8741,2010-09-19,1
78.2844,31.5699,2010-09-20,1
77.193,31.2077,2008-03-06,1
77.4702,31.8246,2014-12-02,1
77.2195,32.3109,2010-09-13,1
77.1179,31.944,2010-09-20,1
77.1495,32.0987,2010-06-09,1
77.1043,31.6865,2016-07-31,1
77.1727,31.1054,2010-07-25,1
77.17798485,31.10587659,2011-12-07,1
77.1209,31.6817,2015-07-12,1
77.4153,31.4161,2010-09-19,1
76.3226,32.2239,2015-07-18,1
76.3369,32.2237,2014-08-08,1
78.4384,31.5986,2013-06-16,1
78.0193,31.6223,2013-06-17,1
78.1346,31.5216,2014-08-20,1
77.2234,32.351,2009-03-09,1
77.895,31.4135,2010-09-15,1
77.1613,32.2862,2008-03-17,1
75.9568,32.7029,2010-08-26,1
77.4668,30.9009,2010-09-19,1
76.7907,31.9906,2013-06-07,1
76.1249,32.5552,2013-12-06,1
77.6521,30.5728,2013-06-16,1
76.757,31.8028,2015-08-08,1
76.936,31.703,2013-07-07,1
77.1135,31.9563,2015-07-26,1
78.066,31.0826,2013-08-18,1
77.0666,30.4084,2010-08-22,1
77.0857,32.3665,2013-11-10,1
78.315,31.587,2008-09-19,1
77.13222306,31.69137979,2011-06-08,1
77.1793,31.1011,2010-07-07,1
77.9521,31.5041,2010-07-07,1
77.5435,30.6358,2010-07-17,1
77.2847,30.7395,2012-08-24,1
76.1201,32.5655,2012-02-16,1
76.2833,32.2108,2013-12-06,1
77.3544,30.6738,2013-06-16,1
77.209,31.1066,2012-05-07,1
77.09,31.13,2008-08-08,1
77.2466,32.3709,2011-06-14,1
77.1104,31.958,2010-11-08,1
77.187,32.1896,2011-07-25,1
78.6167,31.8833,2009-10-09,1
77.1103,30.9086,2010-09-19,1
77.0588,30.8974,2016-03-10,1
76.853,32.6598,2010-07-07,1
77.1402,31.0722,2013-02-07,1
77.4138,32.7571,2010-04-08,1
77.089,30.895,2008-12-21,1
77.1645,31.1,2008-09-19,1
78.63,31.8931,2013-07-27,1
77.1751,31.1003,2015-07-26,1
76.933,31.7099,2011-10-07,1
77.0958,30.9012,2010-08-14,1
77.8561,31.5728,2016-08-29,1
76.9844,30.7059,2010-11-09,1
76.9316,31.7083,2011-07-08,1
76.9424,31.7018,2013-07-07,1
77.1935,32.3237,2011-08-07,1
76.5102,31.6916,2015-09-08,1
77.1038,31.0215,2010-09-22,1
77.2147,32.4318,2011-06-29,1
76.86927482,31.46626719,2015-12-29,1
77.08,30.7,2008-09-22,1
76.2665,32.0985,2007-12-08,1
78.1758,31.5007,2016-07-17,1
76.9161,31.8795,2013-07-07,1
78.2619,31.5158,2010-10-14,1
76.818,30.9141,2010-03-10,1
76.991,30.8522,2010-08-13,1
78.1996,31.4551,2013-06-16,1
77.3052,32.3573,2013-08-15,1
77.3525,31.1263,2015-07-26,1
76.3374,32.2241,2015-07-31,1
77.1675,31.0931,2010-07-25,1
76.2699,32.1002,2012-08-24,1
77.5796,32.4035,2009-10-09,1
77.1665,31.0851,2015-07-13,1
77.9277,31.5593,2014-08-26,1
78.072,32.219,2010-07-07,1
77.2466,32.3712,2008-06-18,1
77.0991,31.0164,2014-10-15,1
77.5914,32.7334,2007-12-08,1
76.5338,31.673,2013-07-14,1
77.1723589,31.09907494,2010-09-06,1
77.1679,31.5596,2013-07-07,1
76.9876,31.7756,2015-08-13,1
77.4266,30.6935,2016-07-26,1
76.1238,32.5612,2015-10-03,1
77.1325,31.0655,2010-07-31,1
77.1803,32.2934,2015-03-04,1
77.2889,30.5589,2010-07-25,1
78.0976,31.5168,2013-06-15,1
76.9001,31.5494,2009-09-09,1
77.02239366,31.71456806,2011-07-08,1
76.973,31.7017,2013-07-07,1
78.4354,31.645,2010-07-07,1
77.9796,31.563,2010-09-19,1
76.7043,31.4898,2013-11-06,1
76.9297,31.7093,2013-07-07,1
77.3446,32.0275,2015-08-18,1
77.5092,31.1191,2010-09-19,1
77.2498,32.3733,2010-07-07,1
76.9832,31.7766,2014-09-09,1
77.2106,32.304,2010-11-07,1
76.9834,30.709,2014-04-08,1
77.0206,30.9209,2011-08-07,1
77.3,30.56,2008-09-19,1
77.7155,31.1581,2010-09-20,1
77.1898,32.2282,2011-06-29,1
