latitude,longitude,event_date
31.956546,77.109719,2016-09-02
31.581485,78.412784,2016-08-15
31.70779,76.932771,2016-08-09
30.86642127,76.99790295,2017-06-29
30.94222039,76.80054202,2017-06-07
31.72415448,76.93732121,2017-06-27
32.23843313,78.06239076,2017-07-02
31.45206,78.401303,2016-08-21
32.30628994,77.52161234,2017-07-03
33.18477201,75.80813836,2017-06-29
30.922325,78.681379,2016-08-28
32.26186432,78.0685005,2017-07-02
32.24637329,78.06616409,2017-07-02
30.995694,78.936314,2016-08-29
31.0365,77.1213,2015-08-22
30.7313,78.4358,2016-07-18
32.2473,78.037,2015-07-13
32.76390852,77.28272548,2017-06-29
30.241,78.9,2015-07-11
32.4298,75.5807,2016-08-07
33.1457,75.7964,2016-08-07
32.5606,76.1206,2015-07-26
31.7085,76.9297,2015-07-26
32.1967,76.3194,2015-08-11
30.4554,78.0973,2016-07-16
32.1764,76.3075,2015-08-12
31.5124,78.1181,2016-06-17
30.9753,78.4375,2016-07-31
31.3237,76.7622,2015-08-11
30.2411,78.9014,2015-07-26
30.9085,78.3299,2015-08-15
33.2706,75.7702,2015-07-27
33.1445,75.5469,2015-04-03
31.6865,77.1043,2016-07-31
31.6817,77.1209,2015-12-07
32.2239,76.3226,2015-07-18
30.7007,77.8644,2016-05-23
32.9834,75.6953,2016-08-07
31.8028,76.757,2015-08-08
31.9563,77.1135,2015-07-26
30.306,78.0648,2016-05-22
30.3799,78.4862,2015-07-11
30.4517,78.1443,2015-07-24
30.8974,77.0588,2016-10-03
31.1003,77.1751,2015-07-26
32.6175,75.6157,2015-08-20
31.0358,78.8578,2015-08-01
31.5728,77.8561,2016-08-29
31.6916,76.5102,2015-08-09
31.46626719,76.86927482,2015-12-29
31.5007,78.1758,2016-07-17
30.7864,78.616,2015-08-15
31.1263,77.3525,2015-07-26
32.2241,76.3374,2015-07-31
31.0851,77.1665,2015-07-13
30.3351,78.5113,2016-07-16
31.7756,76.9876,2015-08-13
30.6935,77.4266,2016-07-26
32.5612,76.1238,2015-03-10
32.2934,77.1803,2015-04-03
30.9111,78.6814,2015-08-15
32.0275,77.3446,2015-08-18
30.416,78.3415,2015-07-24
33.13810294,75.51068484,2016-03-17
33.0977,75.5787,2015-03-15
33.1754,75.8103,2015-03-21
30.89221723,77.09003076,2016-07-02
30.73,78.4378,2015-07-19
30.4528,78.1045,2015-07-24
30.23936058,77.9558167,2017-07-13
30.24147729,78.89773782,2017-07-07
31.01260519,78.88449525,2017-04-06
30.41288197,78.08379453,2017-07-11
30.81350174,78.6179215,2017-04-05
30.61461423,78.3157525,2017-04-06
31.10312666,77.20355516,2017-09-02
31.0563269,77.13685018,2017-01-06
30.8754355,77.00009329,2017-01-26
33.220138,75.796448,2017-03-19
33.17580726,75.81055668,2017-02-25
33.17598419,75.81088889,2017-04-15
32.83198,75.730159,2016-11-10
32.3071683,77.60234008,2017-04-30
32.34193603,77.22157675,2017-05-05
33.18025403,75.80786093,2017-03-30
33.25646771,75.77361313,2017-02-26
31.76419233,77.29184098,2017-04-17
33.18368391,75.80816901,2017-04-22
33.153219,75.678275,2017-04-02
32.00653439,78.56989163,2017-02-21
31.77315744,77.30471357,2017-03-22
33.17191499,75.81074366,2017-04-25
31.09793945,77.15163968,2017-04-06
33.144018,75.54564,2017-07-12
32.3614925,77.23398736,2017-04-23
